country,iso,region,income_group,internet_pct,has_election,freedom_status,freedom_score,election_type
Benin,BEN,Sub-Saharan Africa,Lower middle income,32.21,FALSE,,,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,32.47,TRUE,Partly Free,43,General Election
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,33,FALSE,,,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,34.02,FALSE,,,
Rwanda,RWA,Sub-Saharan Africa,Low income,34.2,TRUE,Not Free,23,General Election
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,34.65,TRUE,Not Free,1,Parliamentary Election
Kenya,KEN,Sub-Saharan Africa,Lower middle income,34.98,FALSE,,,
Mali,MLI,Sub-Saharan Africa,Low income,35.09,TRUE,Not Free,26,General Election
Comoros,COM,Sub-Saharan Africa,Lower middle income,35.67,TRUE,Partly Free,42,Presidential Election
Togo,TGO,Sub-Saharan Africa,Low income,37.02,TRUE,Partly Free,42,Parliamentary Election
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,37.38,TRUE,Partly Free,39,Presidential Election
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,38.43,FALSE,,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,39.21,FALSE,,,
Haiti,HTI,Latin America & Caribbean,Lower middle income,39.26,FALSE,,,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,40.65,FALSE,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,41.91,FALSE,,,
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,42.46,TRUE,Free,75,General Election
Bangladesh,BGD,South Asia,Lower middle income,44.5,TRUE,Partly Free,40,General Election
Angola,AGO,Sub-Saharan Africa,Lower middle income,44.76,FALSE,,,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,45.73,FALSE,,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,47.99,FALSE,,,
Sri Lanka,LKA,South Asia,Lower middle income,51.2,TRUE,Partly Free,54,Presidential Election
Nepal,NPL,South Asia,Lower middle income,55.77,FALSE,,,
India,IND,South Asia,Lower middle income,55.9,TRUE,Partly Free,66,General Election
Guatemala,GTM,Latin America & Caribbean,Upper middle income,56.05,FALSE,,,
Tajikistan,TJK,Europe & Central Asia,Lower middle income,56.79,FALSE,,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,57.62,FALSE,,,
Samoa,WSM,East Asia & Pacific,Lower middle income,58.14,FALSE,,,
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,58.23,FALSE,,,
Honduras,HND,Latin America & Caribbean,Lower middle income,58.28,FALSE,,,
Tonga,TON,East Asia & Pacific,Upper middle income,58.53,FALSE,,,
Myanmar,MMR,East Asia & Pacific,Lower middle income,58.54,FALSE,,,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,60.37,FALSE,,,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,60.61,TRUE,Partly Free,67,Presidential Election
Cambodia,KHM,East Asia & Pacific,Lower middle income,60.72,TRUE,Not Free,23,Senate Election
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,61.46,FALSE,,,
Venezuela,VEN,,,61.6,TRUE,Not Free,15,Presidential Election
Lao PDR,LAO,East Asia & Pacific,Lower middle income,63.63,FALSE,,,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,64.38,FALSE,,,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,64.41,TRUE,Free,77,General Election
Djibouti,DJI,Middle East & North Africa,Lower middle income,65.02,FALSE,,,
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,65.72,FALSE,,,
El Salvador,SLV,Latin America & Caribbean,Upper middle income,67.66,TRUE,Partly Free,53,Presidential Election
